species	genus	family
Potamogeton crispus	Potamogeton	Potamogetonaceae
Potamogeton gramineus	Potamogeton	Potamogetonaceae
Potamogeton lucens	Potamogeton	Potamogetonaceae
Potamogeton natans	Potamogeton	Potamogetonaceae
Potamogeton nodosus	Potamogeton	Potamogetonaceae
Potamogeton perfoliatus	Potamogeton	Potamogetonaceae
Potamogeton polygonifolius	Potamogeton	Potamogetonaceae
Potamogeton pusillus	Potamogeton	Potamogetonaceae
Potamogeton trichoides	Potamogeton	Potamogetonaceae
Potentilla erecta	Potentilla	Rosaceae
Potentilla montana	Potentilla	Rosaceae
Potentilla reptans	Potentilla	Rosaceae
Potentilla rupestris	Potentilla	Rosaceae
Potentilla sterilis	Potentilla	Rosaceae
Prangos trifida	Prangos	Apiaceae
Prasium majus	Prasium	Lamiaceae
Primula acaulis	Primula	Primulaceae
Prunella grandiflora	Prunella	Lamiaceae
Prunella laciniata	Prunella	Lamiaceae
Prunella vulgaris	Prunella	Lamiaceae
Prunus avium	Prunus	Rosaceae
Prunus dulcis	Prunus	Rosaceae
Prunus lusitanica	Prunus	Rosaceae
Prunus mahaleb	Prunus	Rosaceae
Prunus padus	Prunus	Rosaceae
Prunus spinosa	Prunus	Rosaceae
Pteridium aquilinum	Pteridium	Dennstaedtiaceae
Pteris vittata	Pteris	Pteridaceae
Pterocephalidium diandrum	Pterocephalidium	Caprifoliaceae
Pulicaria dysenterica	Pulicaria	Asteraceae
Pulicaria odora	Pulicaria	Asteraceae
Pulicaria paludosa	Pulicaria	Asteraceae
Pulicaria vulgaris	Pulicaria	Asteraceae
Pulmonaria longifolia	Pulmonaria	Boraginaceae
Pycnocomon intermedium	Pycnocomon	Caprifoliaceae
Pycnocomon rutifolium	Pycnocomon	Caprifoliaceae
Pyrus bourgaeana	Pyrus	Rosaceae
Pyrus cordata	Pyrus	Rosaceae
Quercus canariensis	Quercus	Fagaceae
Quercus coccifera	Quercus	Fagaceae
Quercus faginea	Quercus	Fagaceae
Quercus lusitanica	Quercus	Fagaceae
Quercus pubescens	Quercus	Fagaceae
Quercus pyrenaica	Quercus	Fagaceae
Quercus robur	Quercus	Fagaceae
Quercus rotundifolia	Quercus	Fagaceae
Quercus rubra	Quercus	Fagaceae
Quercus suber	Quercus	Fagaceae
Radiola linoides	Radiola	Linaceae
Ranunculus arvensis	Ranunculus	Ranunculaceae
Ranunculus bulbosus	Ranunculus	Ranunculaceae
Ranunculus bullatus	Ranunculus	Ranunculaceae
Ranunculus bupleuroides	Ranunculus	Ranunculaceae
Ranunculus flammula	Ranunculus	Ranunculaceae
Ranunculus gramineus	Ranunculus	Ranunculaceae
Ranunculus hederaceus	Ranunculus	Ranunculaceae
Ranunculus macrophyllus	Ranunculus	Ranunculaceae
Ranunculus muricatus	Ranunculus	Ranunculaceae
Ranunculus ollissiponensis	Ranunculus	Ranunculaceae
Ranunculus ololeucos	Ranunculus	Ranunculaceae
Ranunculus omiophyllus	Ranunculus	Ranunculaceae
Ranunculus ophioglossifolius	Ranunculus	Ranunculaceae
Ranunculus paludosus	Ranunculus	Ranunculaceae
Ranunculus parviflorus	Ranunculus	Ranunculaceae
Ranunculus peltatus	Ranunculus	Ranunculaceae
Ranunculus repens	Ranunculus	Ranunculaceae
Ranunculus sceleratus	Ranunculus	Ranunculaceae
Ranunculus trichophyllus	Ranunculus	Ranunculaceae
Raphanus raphanistrum	Raphanus	Brassicaceae
Rapistrum rugosum	Rapistrum	Brassicaceae
Reichardia gaditana	Reichardia	Asteraceae
Reichardia intermedia	Reichardia	Asteraceae
Reichardia picroides	Reichardia	Asteraceae
Reseda alba	Reseda	Resedaceae
Reseda lutea	Reseda	Resedaceae
Reseda luteola	Reseda	Resedaceae
Reseda media	Reseda	Resedaceae
Reseda phyteuma	Reseda	Resedaceae
Retama monosperma	Retama	Fabaceae
Retama sphaerocarpa	Retama	Fabaceae
Reynoutria japonica	Reynoutria	Polygonaceae
Rhagadiolus edulis	Rhagadiolus	Asteraceae
Rhagadiolus stellatus	Rhagadiolus	Asteraceae
Rhamnus alaternus	Rhamnus	Rhamnaceae
Rhamnus lycioides	Rhamnus	Rhamnaceae
Rhinanthus minor	Rhinanthus	Orobanchaceae
Rhododendron ponticum	Rhododendron	Ericaceae
Rhus coriaria	Rhus	Anacardiaceae
Rhynchospora alba	Rhynchospora	Cyperaceae
Ricinus communis	Ricinus	Euphorbiaceae
Ridolfia segetum	Ridolfia	Apiaceae
Robinia pseudoacacia	Robinia	Fabaceae
Romulea bulbocodium	Romulea	Iridaceae
Romulea clusiana	Romulea	Iridaceae
Romulea columnae	Romulea	Iridaceae
Romulea ramiflora	Romulea	Iridaceae
Rorippa amphibia	Rorippa	Brassicaceae
Rorippa palustris	Rorippa	Brassicaceae
Rorippa pyrenaica	Rorippa	Brassicaceae
Rorippa sylvestris	Rorippa	Brassicaceae
Rosa agrestis	Rosa	Rosaceae
Rosa canina	Rosa	Rosaceae
Rosa corymbifera	Rosa	Rosaceae
Rosa micrantha	Rosa	Rosaceae
Rosa rubiginosa	Rosa	Rosaceae
Rosa sempervirens	Rosa	Rosaceae
Rosa tomentosa	Rosa	Rosaceae
Rostraria cristata	Rostraria	Poaceae
Rubia peregrina	Rubia	Rubiaceae
Rubus caesius	Rubus	Rosaceae
Rubus ulmifolius	Rubus	Rosaceae
Rubus vestitus	Rubus	Rosaceae
Rumex acetosa	Rumex	Polygonaceae
Rumex acetosella	Rumex	Polygonaceae
Rumex bucephalophorus	Rumex	Polygonaceae
Rumex conglomeratus	Rumex	Polygonaceae
Rumex crispus	Rumex	Polygonaceae
Rumex induratus	Rumex	Polygonaceae
Rumex longifolius	Rumex	Polygonaceae
Rumex obtusifolius	Rumex	Polygonaceae
Rumex palustris	Rumex	Polygonaceae
Rumex pulcher	Rumex	Polygonaceae
Ruppia cirrhosa	Ruppia	Ruppiaceae
Ruppia maritima	Ruppia	Ruppiaceae
Ruscus aculeatus	Ruscus	Asparagaceae
Ruta angustifolia	Ruta	Rutaceae
Ruta chalepensis	Ruta	Rutaceae
Ruta montana	Ruta	Rutaceae
Sagina apetala	Sagina	Caryophyllaceae
Sagina maritima	Sagina	Caryophyllaceae
Sagina nodosa	Sagina	Caryophyllaceae
Sagina procumbens	Sagina	Caryophyllaceae
Sagina saginoides	Sagina	Caryophyllaceae
Salicornia ramosissima	Salicornia	Amaranthaceae
Salix alba	Salix	Salicaceae
Salix atrocinerea	Salix	Salicaceae
Salix babylonica	Salix	Salicaceae
Salix caprea	Salix	Salicaceae
Salix fragilis	Salix	Salicaceae
Salix repens	Salix	Salicaceae
Salix salviifolia	Salix	Salicaceae
Salix triandra	Salix	Salicaceae
Salix viminalis	Salix	Salicaceae
Salpichroa origanifolia	Salpichroa	Solanaceae
Salsola soda	Salsola	Amaranthaceae
Salvia argentea	Salvia	Lamiaceae
Salvia sclarea	Salvia	Lamiaceae
Salvia sclareoides	Salvia	Lamiaceae
Salvia verbenaca	Salvia	Lamiaceae
Salvia viridis	Salvia	Lamiaceae
Sambucus ebulus	Sambucus	Adoxaceae
Sambucus nigra	Sambucus	Adoxaceae
Samolus valerandi	Samolus	Primulaceae
Sanguisorba minor	Sanguisorba	Rosaceae
Sanicula europaea	Sanicula	Apiaceae
Santolina rosmarinifolia	Santolina	Asteraceae
Saponaria officinalis	Saponaria	Caryophyllaceae
Saxifraga fragosoi	Saxifraga	Saxifragaceae
Saxifraga granulata	Saxifraga	Saxifragaceae
Saxifraga spathularis	Saxifraga	Saxifragaceae
Saxifraga tridactylites	Saxifraga	Saxifragaceae
Scabiosa columbaria	Scabiosa	Caprifoliaceae
Scandix pecten-veneris	Scandix	Apiaceae
Schoenoplectus lacustris	Schoenoplectus	Cyperaceae
Schoenoplectus litoralis	Schoenoplectus	Cyperaceae
Schoenoplectus pungens	Schoenoplectus	Cyperaceae
Schoenoplectus triqueter	Schoenoplectus	Cyperaceae
Schoenus nigricans	Schoenus	Cyperaceae
Scilla monophyllos	Scilla	Asparagaceae
Scilla peruviana	Scilla	Asparagaceae
Scilla verna	Scilla	Asparagaceae
Scirpoides holoschoenus	Scirpoides	Cyperaceae
Scleranthus annuus	Scleranthus	Caryophyllaceae
Scleranthus perennis	Scleranthus	Caryophyllaceae
Scleranthus polycarpos	Scleranthus	Caryophyllaceae
Scolymus hispanicus	Scolymus	Asteraceae
Scolymus maculatus	Scolymus	Asteraceae
Scorpiurus muricatus	Scorpiurus	Fabaceae
Scorpiurus vermiculatus	Scorpiurus	Fabaceae
Scorzonera angustifolia	Scorzonera	Asteraceae
Scorzonera humilis	Scorzonera	Asteraceae
Scorzonera laciniata	Scorzonera	Asteraceae
Scrophularia auriculata	Scrophularia	Scrophulariaceae
Scrophularia canina	Scrophularia	Scrophulariaceae
Scrophularia frutescens	Scrophularia	Scrophulariaceae
Scrophularia grandiflora	Scrophularia	Scrophulariaceae
Scrophularia peregrina	Scrophularia	Scrophulariaceae
Scrophularia sambucifolia	Scrophularia	Scrophulariaceae
Scrophularia scorodonia	Scrophularia	Scrophulariaceae
Scutellaria galericulata	Scutellaria	Lamiaceae
Scutellaria minor	Scutellaria	Lamiaceae
Sedum acre	Sedum	Crassulaceae
Sedum album	Sedum	Crassulaceae
Sedum andegavense	Sedum	Crassulaceae
Sedum anglicum	Sedum	Crassulaceae
Sedum arenarium	Sedum	Crassulaceae
Sedum brevifolium	Sedum	Crassulaceae
Sedum caespitosum	Sedum	Crassulaceae
Sedum hirsutum	Sedum	Crassulaceae
Sedum mucizonia	Sedum	Crassulaceae
Sedum pedicellatum	Sedum	Crassulaceae
Sedum rubens	Sedum	Crassulaceae
Selaginella denticulata	Selaginella	Selaginellaceae
Selaginella kraussiana	Selaginella	Selaginellaceae
Senecio angulatus	Senecio	Asteraceae
Senecio doria	Senecio	Asteraceae
Senecio doronicum	Senecio	Asteraceae
Senecio gallicus	Senecio	Asteraceae
Senecio inaequidens	Senecio	Asteraceae
Senecio jacobaea	Senecio	Asteraceae
Senecio leucanthemifolius	Senecio	Asteraceae
Senecio lividus	Senecio	Asteraceae
Senecio pyrenaicus	Senecio	Asteraceae
Senecio sylvaticus	Senecio	Asteraceae
Senecio vulgaris	Senecio	Asteraceae
Serapias cordigera	Serapias	Orchidaceae
Serapias lingua	Serapias	Orchidaceae
Serapias parviflora	Serapias	Orchidaceae
Serapias strictiflora	Serapias	Orchidaceae
Serratula tinctoria	Serratula	Asteraceae
Sesamoides purpurascens	Sesamoides	Resedaceae
Seseli tortuosum	Seseli	Apiaceae
Setaria faberi	Setaria	Poaceae
Setaria italica	Setaria	Poaceae
Setaria parviflora	Setaria	Poaceae
Setaria verticillata	Setaria	Poaceae
Setaria viridis	Setaria	Poaceae
Sherardia arvensis	Sherardia	Rubiaceae
Sideritis hirsuta	Sideritis	Lamiaceae
Sideritis romana	Sideritis	Lamiaceae
Silene acutifolia	Silene	Caryophyllaceae
Silene bellidifolia	Silene	Caryophyllaceae
Silene ciliata	Silene	Caryophyllaceae
Silene colorata	Silene	Caryophyllaceae
Silene conica	Silene	Caryophyllaceae
Silene dioica	Silene	Caryophyllaceae
Silene fuscata	Silene	Caryophyllaceae
Silene gallica	Silene	Caryophyllaceae
Silene latifolia	Silene	Caryophyllaceae
Silene littorea	Silene	Caryophyllaceae
Silene nocturna	Silene	Caryophyllaceae
Silene nutans	Silene	Caryophyllaceae
Silene scabriflora	Silene	Caryophyllaceae
Silene uniflora	Silene	Caryophyllaceae
Silene vulgaris	Silene	Caryophyllaceae
Silybum marianum	Silybum	Asteraceae
Sinapis alba	Sinapis	Brassicaceae
Sinapis arvensis	Sinapis	Brassicaceae
Sisymbrella aspera	Sisymbrella	Brassicaceae
Sisymbrium austriacum	Sisymbrium	Brassicaceae
Sisymbrium irio	Sisymbrium	Brassicaceae
Sisymbrium officinale	Sisymbrium	Brassicaceae
Sisymbrium orientale	Sisymbrium	Brassicaceae
Smilax aspera	Smilax	Smilacaceae
Smyrnium olusatrum	Smyrnium	Apiaceae
Smyrnium perfoliatum	Smyrnium	Apiaceae
Solanum chenopodioides	Solanum	Solanaceae
Solanum dulcamara	Solanum	Solanaceae
Solanum laciniatum	Solanum	Solanaceae
Solanum linnaeanum	Solanum	Solanaceae
Solanum nigrum	Solanum	Solanaceae
Solanum villosum	Solanum	Solanaceae
Solidago virgaurea	Solidago	Asteraceae
Soliva sessilis	Soliva	Asteraceae
Sonchus asper	Sonchus	Asteraceae
Sonchus oleraceus	Sonchus	Asteraceae
Sonchus tenerrimus	Sonchus	Asteraceae
Sorbus aucuparia	Sorbus	Rosaceae
Sparganium angustifolium	Sparganium	Typhaceae
Sparganium emersum	Sparganium	Typhaceae
Sparganium erectum	Sparganium	Typhaceae
Spartium junceum	Spartium	Fabaceae
Spergula arvensis	Spergula	Caryophyllaceae
Spergula morisonii	Spergula	Caryophyllaceae
Spergularia marina	Spergularia	Caryophyllaceae
Spergularia media	Spergularia	Caryophyllaceae
Spergularia purpurea	Spergularia	Caryophyllaceae
Spergularia rubra	Spergularia	Caryophyllaceae
Spergularia rupicola	Spergularia	Caryophyllaceae
Spiraea hypericifolia	Spiraea	Rosaceae
Spiranthes aestivalis	Spiranthes	Orchidaceae
Spiranthes spiralis	Spiranthes	Orchidaceae
Spirodela polyrhiza	Spirodela	Araceae
Stachys arvensis	Stachys	Lamiaceae
Stachys germanica	Stachys	Lamiaceae
Stachys ocymastrum	Stachys	Lamiaceae
Stachys palustris	Stachys	Lamiaceae
Stachys sylvatica	Stachys	Lamiaceae
Staehelina dubia	Staehelina	Asteraceae
Stauracanthus boivinii	Stauracanthus	Fabaceae
Stauracanthus genistoides	Stauracanthus	Fabaceae
Stellaria alsine	Stellaria	Caryophyllaceae
Stellaria graminea	Stellaria	Caryophyllaceae
Stellaria media	Stellaria	Caryophyllaceae
Stellaria neglecta	Stellaria	Caryophyllaceae
Stipa gigantea	Stipa	Poaceae
Stipa tenacissima	Stipa	Poaceae
Suaeda vera	Suaeda	Amaranthaceae
Succisa pratensis	Succisa	Caprifoliaceae
Taeniatherum caput-medusae	Taeniatherum	Poaceae
Tamarix africana	Tamarix	Tamaricaceae
Tamarix gallica	Tamarix	Tamaricaceae
Tanacetum corymbosum	Tanacetum	Asteraceae
Tanacetum parthenium	Tanacetum	Asteraceae
Tanacetum vulgare	Tanacetum	Asteraceae
Taraxacum obovatum	Taraxacum	Asteraceae
Taxus baccata	Taxus	Taxaceae
Teesdalia coronopifolia	Teesdalia	Brassicaceae
Teesdalia nudicaulis	Teesdalia	Brassicaceae
Tetragonia tetragonoides	Tetragonia	Aizoaceae
Teucrium capitatum	Teucrium	Lamiaceae
Teucrium chamaedrys	Teucrium	Lamiaceae
Teucrium fruticans	Teucrium	Lamiaceae
Teucrium pseudochamaepitys	Teucrium	Lamiaceae
Teucrium scordium	Teucrium	Lamiaceae
Teucrium scorodonia	Teucrium	Lamiaceae
Thalictrum minus	Thalictrum	Ranunculaceae
Thalictrum speciosissimum	Thalictrum	Ranunculaceae
Thapsia minor	Thapsia	Apiaceae
Thapsia villosa	Thapsia	Apiaceae
Theligonum cynocrambe	Theligonum	Rubiaceae
Thelypteris palustris	Thelypteris	Thelypteridaceae
Thesium humifusum	Thesium	Thesiaceae
Thesium pyrenaicum	Thesium	Thesiaceae
Thlaspi arvense	Thlaspi	Brassicaceae
Thymbra capitata	Thymbra	Lamiaceae
Thymelaea coridifolia	Thymelaea	Thymelaeaceae
Thymelaea passerina	Thymelaea	Thymelaeaceae
Thymus caespititius	Thymus	Lamiaceae
Thymus camphoratus	Thymus	Lamiaceae
Thymus capitellatus	Thymus	Lamiaceae
Thymus carnosus	Thymus	Lamiaceae
Thymus mastichina	Thymus	Lamiaceae
Thymus pulegioides	Thymus	Lamiaceae
Thymus zygis	Thymus	Lamiaceae
Tolpis barbata	Tolpis	Asteraceae
Tolpis umbellata	Tolpis	Asteraceae
Tordylium apulum	Tordylium	Apiaceae
Tordylium maximum	Tordylium	Apiaceae
Torilis arvensis	Torilis	Apiaceae
Torilis japonica	Torilis	Apiaceae
Torilis nodosa	Torilis	Apiaceae
Trachelium caeruleum	Trachelium	Campanulaceae
Tradescantia fluminensis	Tradescantia	Commelinaceae
Tragopogon crocifolius	Tragopogon	Asteraceae
Tragopogon dubius	Tragopogon	Asteraceae
Tragopogon hybridus	Tragopogon	Asteraceae
Tragopogon porrifolius	Tragopogon	Asteraceae
Tribulus terrestris	Tribulus	Zygophyllaceae
Trichophorum cespitosum	Trichophorum	Cyperaceae
Trifolium alexandrinum	Trifolium	Fabaceae
Trifolium angustifolium	Trifolium	Fabaceae
Trifolium arvense	Trifolium	Fabaceae
Trifolium campestre	Trifolium	Fabaceae
Trifolium cherleri	Trifolium	Fabaceae
Trifolium dubium	Trifolium	Fabaceae
Trifolium fragiferum	Trifolium	Fabaceae
Trifolium glomeratum	Trifolium	Fabaceae
Trifolium hirtum	Trifolium	Fabaceae
Trifolium incarnatum	Trifolium	Fabaceae
Trifolium lappaceum	Trifolium	Fabaceae
Trifolium medium	Trifolium	Fabaceae
Trifolium micranthum	Trifolium	Fabaceae
Trifolium nigrescens	Trifolium	Fabaceae
Trifolium ochroleucon	Trifolium	Fabaceae
Trifolium ornithopodioides	Trifolium	Fabaceae
Trifolium pratense	Trifolium	Fabaceae
Trifolium repens	Trifolium	Fabaceae
Trifolium resupinatum	Trifolium	Fabaceae
Trifolium scabrum	Trifolium	Fabaceae
Trifolium stellatum	Trifolium	Fabaceae
Trifolium striatum	Trifolium	Fabaceae
Trifolium subterraneum	Trifolium	Fabaceae
Trifolium suffocatum	Trifolium	Fabaceae
Trifolium tomentosum	Trifolium	Fabaceae
Trifolium vesiculosum	Trifolium	Fabaceae
Tripodion tetraphyllum	Tripodion	Fabaceae
Tropaeolum majus	Tropaeolum	Tropaeolaceae
Tuberaria globulariifolia	Tuberaria	Cistaceae
Tuberaria guttata	Tuberaria	Cistaceae
Tuberaria lignosa	Tuberaria	Cistaceae
Tulipa sylvestris	Tulipa	Liliaceae
Turgenia latifolia	Turgenia	Apiaceae
Typha angustifolia	Typha	Typhaceae
Typha domingensis	Typha	Typhaceae
Typha latifolia	Typha	Typhaceae
Ulex densus	Ulex	Fabaceae
Ulex europaeus	Ulex	Fabaceae
Ulex minor	Ulex	Fabaceae
Ulmus glabra	Ulmus	Ulmaceae
Ulmus minor	Ulmus	Ulmaceae
Umbilicus rupestris	Umbilicus	Crassulaceae
Urospermum picroides	Urospermum	Asteraceae
Urtica dioica	Urtica	Urticaceae
Urtica membranacea	Urtica	Urticaceae
Urtica pilulifera	Urtica	Urticaceae
Urtica urens	Urtica	Urticaceae
Utricularia australis	Utricularia	Lentibulariaceae
Vaccinium myrtillus	Vaccinium	Ericaceae
Vaccinium uliginosum	Vaccinium	Ericaceae
Valantia hispida	Valantia	Rubiaceae
Valantia muralis	Valantia	Rubiaceae
Valeriana dioica	Valeriana	Caprifoliaceae
Valeriana montana	Valeriana	Caprifoliaceae
Valeriana officinalis	Valeriana	Caprifoliaceae
Valeriana tuberosa	Valeriana	Caprifoliaceae
Valerianella coronata	Valerianella	Caprifoliaceae
Valerianella dentata	Valerianella	Caprifoliaceae
Valerianella discoidea	Valerianella	Caprifoliaceae
Valerianella echinata	Valerianella	Caprifoliaceae
Valerianella locusta	Valerianella	Caprifoliaceae
Vallisneria spiralis	Vallisneria	Hydrocharitaceae
Velezia rigida	Velezia	Caryophyllaceae
Veratrum album	Veratrum	Melanthiaceae
Verbascum giganteum	Verbascum	Scrophulariaceae
Verbascum pulverulentum	Verbascum	Scrophulariaceae
Verbascum sinuatum	Verbascum	Scrophulariaceae
Verbascum thapsus	Verbascum	Scrophulariaceae
Verbascum virgatum	Verbascum	Scrophulariaceae
Verbena bonariensis	Verbena	Verbenaceae
Verbena officinalis	Verbena	Verbenaceae
Verbena rigida	Verbena	Verbenaceae
Veronica acinifolia	Veronica	Plantaginaceae
Veronica agrestis	Veronica	Plantaginaceae
Veronica anagallis-aquatica	Veronica	Plantaginaceae
Veronica anagalloides	Veronica	Plantaginaceae
Veronica arvensis	Veronica	Plantaginaceae
Veronica beccabunga	Veronica	Plantaginaceae
Veronica chamaedrys	Veronica	Plantaginaceae
Veronica cymbalaria	Veronica	Plantaginaceae
Veronica hederifolia	Veronica	Plantaginaceae
Veronica montana	Veronica	Plantaginaceae
Veronica nevadensis	Veronica	Plantaginaceae
Veronica officinalis	Veronica	Plantaginaceae
Veronica peregrina	Veronica	Plantaginaceae
Veronica persica	Veronica	Plantaginaceae
Veronica polita	Veronica	Plantaginaceae
Veronica scutellata	Veronica	Plantaginaceae
Veronica serpyllifolia	Veronica	Plantaginaceae
Veronica triphyllos	Veronica	Plantaginaceae
Veronica verna	Veronica	Plantaginaceae
Viburnum lantana	Viburnum	Adoxaceae
Viburnum opulus	Viburnum	Adoxaceae
Viburnum tinus	Viburnum	Adoxaceae
Vicia benghalensis	Vicia	Fabaceae
Vicia bithynica	Vicia	Fabaceae
Vicia disperma	Vicia	Fabaceae
Vicia hirsuta	Vicia	Fabaceae
Vicia lathyroides	Vicia	Fabaceae
Vicia lutea	Vicia	Fabaceae
Vicia narbonensis	Vicia	Fabaceae
Vicia onobrychioides	Vicia	Fabaceae
Vicia parviflora	Vicia	Fabaceae
Vicia peregrina	Vicia	Fabaceae
Vicia pubescens	Vicia	Fabaceae
Vicia sativa	Vicia	Fabaceae
Vicia sepium	Vicia	Fabaceae
Vicia tenuifolia	Vicia	Fabaceae
Vicia villosa	Vicia	Fabaceae
Vinca difformis	Vinca	Apocynaceae
Vinca major	Vinca	Apocynaceae
Vinca minor	Vinca	Apocynaceae
Vincetoxicum hirundinaria	Vincetoxicum	Apocynaceae
Vincetoxicum nigrum	Vincetoxicum	Apocynaceae
Viola arborescens	Viola	Violaceae
Viola arvensis	Viola	Violaceae
Viola bubanii	Viola	Violaceae
Viola canina	Viola	Violaceae
Viola hirta	Viola	Violaceae
Viola kitaibeliana	Viola	Violaceae
Viola lactea	Viola	Violaceae
Viola odorata	Viola	Violaceae
Viola palustris	Viola	Violaceae
Viola riviniana	Viola	Violaceae
Viola suavis	Viola	Violaceae
Vitis vinifera	Vitis	Vitaceae
Vulpia bromoides	Vulpia	Poaceae
Vulpia ciliata	Vulpia	Poaceae
Vulpia membranacea	Vulpia	Poaceae
Vulpia myuros	Vulpia	Poaceae
Withania frutescens	Withania	Solanaceae
Wolffia arrhiza	Wolffia	Araceae
Woodwardia radicans	Woodwardia	Blechnaceae
Xanthium spinosum	Xanthium	Asteraceae
Xanthium strumarium	Xanthium	Asteraceae
Xeranthemum cylindraceum	Xeranthemum	Asteraceae
Xeranthemum inapertum	Xeranthemum	Asteraceae
Zannichellia palustris	Zannichellia	Potamogetonaceae
Zantedeschia aethiopica	Zantedeschia	Araceae
Zostera marina	Zostera	Zosteraceae
Zostera noltii	Zostera	Zosteraceae
